epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,3321.11,0.80391,0.62506,1.15475,0.82583,0.68018,0.70602,0.54683,0.80106,0.99737,1.24246,0.000165535,0.000165535,0.000165535
88,3359.11,0.78362,0.60309,1.14563,0.92606,0.67696,0.73106,0.58674,0.8328,0.91784,1.26833,0.000160357,0.000160357,0.000160357
89,3396.96,0.80378,0.62346,1.15099,0.83048,0.71169,0.73136,0.56351,0.8151,0.84046,1.27178,0.000155226,0.000155226,0.000155226
90,3434.81,0.79653,0.61074,1.1392,0.87822,0.63523,0.71064,0.55331,0.80873,0.88215,1.25692,0.000150144,0.000150144,0.000150144
91,3472.71,0.80416,0.63407,1.14709,0.84506,0.67177,0.68515,0.54132,0.79501,0.89612,1.24067,0.000145114,0.000145114,0.000145114
92,3510.75,0.80208,0.61139,1.14139,0.77476,0.6383,0.68609,0.54017,0.81535,0.95107,1.27127,0.000140137,0.000140137,0.000140137
93,3548.68,0.79166,0.59936,1.13489,0.82642,0.62673,0.70236,0.55216,0.80395,0.8812,1.25173,0.000135218,0.000135218,0.000135218
94,3586.73,0.7708,0.58666,1.1208,0.91996,0.66714,0.7197,0.57769,0.7747,0.83629,1.22301,0.000130357,0.000130357,0.000130357
95,3624.57,0.76438,0.59204,1.12452,0.90648,0.67485,0.6802,0.53666,0.7903,0.90042,1.24243,0.000125557,0.000125557,0.000125557
96,3662.5,0.76926,0.58633,1.13032,0.93182,0.67896,0.73147,0.5654,0.76655,0.85898,1.19564,0.000120822,0.000120822,0.000120822
97,3700.32,0.77849,0.59934,1.13988,0.87971,0.60078,0.6503,0.51995,0.75308,0.8707,1.23513,0.000116153,0.000116153,0.000116153
98,3738.28,0.77424,0.59456,1.14301,0.78811,0.73169,0.68678,0.54069,0.78292,0.81374,1.26418,0.000111553,0.000111553,0.000111553
99,3776.2,0.75268,0.56802,1.11689,0.83004,0.70785,0.67659,0.54726,0.77733,0.8773,1.23362,0.000107023,0.000107023,0.000107023
100,3814.07,0.76824,0.58113,1.13482,0.83787,0.7138,0.70794,0.58122,0.7458,0.86485,1.22515,0.000102567,0.000102567,0.000102567
